"Freq [GHz]","dB(S(1,1)) []"
2.5,-0.485825342989175
2.52,-0.518039586007954
2.54,-0.55290655781579
2.56,-0.590695626236668
2.58,-0.631708620350619
2.6,-0.676284315600013
2.62,-0.724803606429472
2.64,-0.77769547951313
2.66,-0.835443919800464
2.68,-0.898595903975463
2.7,-0.967770661953782
2.72,-1.04367041728373
2.74,-1.12709285239161
2.76,-1.21894558524975
2.78,-1.32026299113393
2.8,-1.43222575781941
2.82,-1.55618362640799
2.84,-1.69368184527176
2.86,-1.84649195483432
2.88,-2.01664763156857
2.9,-2.20648645931802
2.92,-2.41869867834319
2.94,-2.65638420783714
2.96,-2.92311957564249
2.98,-3.22303685877088
3,-3.56091738346756
3.02,-3.94230377880719
3.04,-4.37363496157582
3.06,-4.86240942231973
3.08,-5.41738171263744
3.1,-6.04879227664596
3.12,-6.76861357005677
3.14,-7.59074399582947
3.16,-8.53093691494329
3.18,-9.60585483084118
3.2,-10.8295529089709
3.22,-12.2028081422378
3.24,-13.6839647889171
3.26,-15.1218579051354
3.28,-16.1674699791056
3.3,-16.3744166222983
3.32,-15.6607554700425
3.34,-14.4194540762555
3.36,-13.0531134721929
3.38,-11.7602703998858
3.4,-10.6034188537747
3.42,-9.58857183420434
3.44,-8.70316108952924
3.46,-7.93037950498229
3.48,-7.25402877350041
3.5,-6.65989626808619
3.52,-6.1359277331376
3.54,-5.67201967154908
3.56,-5.25972449017753
3.58,-4.89196715080627
3.6,-4.56280135079473
3.62,-4.26720833557943
3.64,-4.00093354085386
3.66,-3.76035455933899
3.68,-3.54237433161158
3.7,-3.34433444053716
3.72,-3.16394439844912
3.74,-2.99922368637354
3.76,-2.84845400558224
3.78,-2.71013975039684
3.8,-2.58297513570422
3.82,-2.46581674031143
3.84,-2.35766048071469
3.86,-2.25762222680374
3.88,-2.1649214249604
3.9,-2.07886721509312
3.92,-1.99884662399254
3.94,-1.92431449372503
3.96,-1.85478486492553
3.98,-1.78982358409425
4,-1.72904194385968
